instelling.naam;objectnummer;object_categorie;objectnaam;titel;beschrijving;vervaardiger;vervaardiger.rol;vervaardiging.plaats;vervaardiging.datum.begin.prec;vervaardiging.datum.begin;vervaardiging.datum.eind.prec;vervaardiging.datum.eind;associatie.onderwerp;associatie.persoon;associatie.periode;inhoud.onderwerp;inhoud.persoon.naam
Het Huis van Alijn (Gent);2008-076-009;"";handpop;Poppenkastpop Professor;"";Beeusaert, Nazaire;fabrikant;Deinze;"";"";"";"";speelgoed$poppenspel;"";"";"";""
Het Huis van Alijn (Gent);2004-247-338;"";glasnegatief;Man in gestreept badpak, Blankenberge;"";Vander Haeghen, Arnold;fotograaf;Gent;"";"";"";"";kusttoerisme$Blankenberge$badmode$toerisme$vakantie;"";jaren 1890$jaren 1900$19de eeuw;strand$strandcabine$zee$badpak;""
Het Huis van Alijn (Gent);2004-247-135;"";glasnegatief;Een gewichtheffer op de Gentse foor, ca. 1890-1900;Een gewichtheffer staat gebogen in een spectaculair krachtnummer op het kleine tapijtje dat zijn straatpodium vormt. Vele nieuwsgierige kermisgangers hebben zich hier op een hoek van het Gentse Sint-Pietersplein rond de artiest verzameld om zijn openluchtshow te zien.;Vander Haeghen, Arnold;fotograaf;Gent;ca.;1890;ca.;1900;kermis$krachtpatser$Sint-Pietersplein (Gent)$Gent;"";19de eeuw$jaren 1890;Sint-Pietersplein (Gent);""
Het Huis van Alijn (Gent);2003-001-031;circuskostuums;kleed;Kostuum van acrobate Nadia De Baets;Geel kleedje met bijpassend broekje van acrobate en plafondloopster Nadia De Baets.;"";"";"";"";"";"";"";circus$acrobaat;De Baets, Nadia;"";"";""
Het Huis van Alijn (Gent);2004-247-134;"";glasnegatief;Een gewichtheffer op de Gentse foor, ca. 1890-1900;Een gewichtheffer houdt zijn halterstang met één arm hoog boven zijn hoofd tijdens zijn openluchtshow op de foor op het Sint-Pietersplein in Gent. Een massa toeschouwers heeft zich in een cirkel rond de krachtpatser verzameld.;Vander Haeghen, Arnold;fotograaf;Gent;ca.;1890;ca.;1900;kermis$krachtpatser$Sint-Pietersplein (Gent)$Gent;"";19de eeuw$jaren 1890;Sint-Pietersplein (Gent);""
Het Huis van Alijn (Gent);2004-247-142;"";glasnegatief;Een verkoopster op de Gentse foor, ca. 1891;"Een verkoopster van kraakamandels en paardenlever op een hoek van het Sint-Pietersplein in Gent tijdens de foor. Op de achtergrond lopen enkele mensen langs de kermistheaters. De barak rechts is wellicht het Théâtre de la famille Libot, het variététheater van de familie Libot. Links staat het Théâtre Fin de Siècle van A. Lagneau. De barak van dit illusietheater was 14 meter breed. Opschriften bovenaan op de voorgevel: Naïades Merveilleuses; Théâtre Fin de Siècle; [Pl]anètes Animées. Op het programma stonden de volgende optredens: Le lever de la lune, par Mlle Aîda; Les planètes animées par Mlles Vénus et Junion; Les femmes volantes; Apotheose: Les naïades au milieu des fontaines lumineuses (10000 liter water in diverse kleuren) en pluies de feu.";Vander Haeghen, Arnold;fotograaf;Gent;ca.;1891;"";"";kermis$Sint-Pietersplein (Gent)$Gent;"";19de eeuw$jaren 1890;Sint-Pietersplein (Gent);""
Het Huis van Alijn (Gent);FO-50-00390;"";digitale afbeelding;Baby in wieg, 1950;"";"";"";"";"";1950;"";"";geboorte;"";jaren 1950;baby$wieg;""
Het Huis van Alijn (Gent);2004-247-105;"";glasnegatief;Stakende arbeidersvrouwen op het Sint-Pietersplein, Gent, 1893;Stakende arbeiders en arbeidersvrouwen zijn samengekomen in een massameeting op het Sint-Pietersplein in Gent tijdens de algemene staking van april 1893. Enkele vrouwen hebben hun kinderen meegebracht. Eén van de stakers draagt een rode vlag. Vanop een houten tentgeraamte in het midden van het plein spreekt een socialistisch kopstuk de menigte toe. De man en de vrouw helemaal rechts zijn waarschijnlijk venters.;Vander Haeghen, Arnold;fotograaf;Gent;"";1893;"";"";protesteren$arbeid$Sint-Pietersplein (Gent)$Gent;"";jaren 1890$19de eeuw;Sint-Pietersplein (Gent)$vlag;""
Het Huis van Alijn (Gent);2004-253;schrijfbenodigdheden;inktpot;Glazen inktpot met stop van kurk;Glazen inktpot met stop van kurk. Tekst op het rode etiket: Renard - red rood rouge 2361.;"";"";"";"";"";"";"";onderwijs$school;"";jaren 1950;"";""
Het Huis van Alijn (Gent);FO-80-00476;"";digitale afbeelding;Huwelijk Erik en Martine, 1980;"";"";"";"";"";1980-11-28;"";"";huwelijk$interieur;"";jaren 1980;bruidspaar$bruidsboeket$behang;""
Het Huis van Alijn (Gent);2003-001-049;circuskostuums;acrobatenpak;Kostuum van acrobate Nadia De Baets;Rood mouwloos glitterpak met franjes van acrobate en plafondloopster Nadia De Baets.;"";"";"";"";"";"";"";circus$acrobaat;De Baets, Nadia;"";"";""
Het Huis van Alijn (Gent);2003-001-061-001;circuskostuums;pak$masker;Kostuum van The Freddy's;Blauw broekpak, handschoen, schoen en masker (2003-001-061-002) van de Freddy's.;"";"";"";"";"";"";"";circus;"";"";"";""
Het Huis van Alijn (Gent);2003-002-071;circusattributen;ladder;Attributen voor circusnummer met Engelse haantjes;De circusattributen (kippenhokjes, ladder...) maken deel uit van een circusnummer met Engelse haantjes. Uit circus Simon.;"";"";"";"";"";"";"";circus$dresseur;Simon (circus);"";"";""
Het Huis van Alijn (Gent);FO-80-00131;"";digitale afbeelding;Meisje met kat in de tuin, 1981;"";"";"";"";"";1981;"";"";huisdier$zomer;"";jaren 1980;kat$tuin;""
Het Huis van Alijn (Gent);2014-005-015;constructiespeelgoed;bouwsteen;Metalen constructie dozen 1;"";onbekend;"";"";"";"";"";"";speelgoed;"";jaren 1970;"";""
Het Huis van Alijn (Gent);1984-017;"";doopprent;Doopprent van Lina Van de Woestijne, 1949;"";"";"";"";"";1949;"";"";geboorte$doopsel;"";jaren 1940;scapulier$doopkleed$baby;""
Het Huis van Alijn (Gent);1974-288-001;"";poederdoos;Colgate's baby talc;"Talkpoederdoos van blik. De doos heeft een rechthoekige vorm met afgeronde hoeken. Centraal is een medaillon aangebracht waarbinnen de afbeelding van een kind met pop is uitgewerkt. Het medaillon heeft een blauwe achtergrond en een gele boord. Het deksel van de doos is naar boven toe bolrond en is voorzien van een goudkleurige dop waar het talkpoeder mee kan worden gestrooid. Opschrift: ""Colgate's baby talc"".";"";"";"";"";"";"";"";babyverzorging$geboorte$lichaamsverzorging;"";"";"";""
Het Huis van Alijn (Gent);2013-056-057-001;"";handpop;Poppenkastpop Samson;Handpop van Samson, het hoofdpersonage uit het televisieprogramma Samson & Gert.;D.Verbiest - G.Verhulst;fabrikant;België;"";"";"";"";speelgoed$televisieprogramma$poppenspel;"";jaren 1990;"";""
Het Huis van Alijn (Gent);2003-001-109;circuskostuums$schoeisel;cowboylaars;Cowboylaarzen van Johnny Ronaldo;"";"";"";"";"";"";"";"";circus$westernartiest;Van den Broeck, Jan$Ronaldo (circus);"";"";""
Het Huis van Alijn (Gent);2004-247-131;"";glasnegatief;Het poppentheater van John Holden op de Gentse foor, ca. 1890;Het poppentheater van John Holden op de foor op het Sint-Pietersplein te Gent. De mooi versierde foorbarak meet 30 op 10 meter en staat tegenover de trappen die leiden naar de Sint-Amandstraat. Boven op de façade zijn een Engelse en een Belgische vlag te zien, op het rechtse deel van de barak staat ook een Amerikaanse vlag. Een grote groep foorgangers staat voor de barak te wachten op de volgende voorstelling. Het programmabord rechts van de ingang kondigt de voorstelling Barbe-Bleu aan. Helemaal links is een Pit Entrance te zien, net zoals aan de rechterkant. Deze toegangspoortjes leiden naar de parterre.;Vander Haeghen, Arnold;fotograaf;Gent;ca.;1890;"";"";kermis$poppenspel$Sint-Pietersplein (Gent)$Gent;"";19de eeuw$jaren 1890;Sint-Pietersplein (Gent);""
Het Huis van Alijn (Gent);1981-177-008;"";reclameplaat;Reclameplaat voor Chicorée De Ronne Gand;"";"";"";"";"";"";"";"";reclame$voedsel$koffie$Coupure (Gent)$Gent;"";19de eeuw;koffiekan;""
Het Huis van Alijn (Gent);FO-80-00194;"";digitale afbeelding;Eerste communicanten van Klein Sint-Bavo in de kerk, Gent, 1981;De kinderen zijn allemaal in groen en wit gekleed, de kleuren van het schooluniform van Sint-Bavo in Gent.;"";"";"";"";1981-05;"";"";communie$onderwijs$kerk$Gent;"";jaren 1980;communicant;""
Het Huis van Alijn (Gent);FO-80-00198;"";digitale afbeelding;Zalving tijdens de plechtige communie, Merelbeke, 1986;"";"";"";"";"";1986-04-20;"";"";communie$Merelbeke;"";jaren 1980;communicant$zalving;""
Het Huis van Alijn (Gent);FO-80-00218;"";digitale afbeelding;Klasfoto 3e leerjaar, 1986-1987;"";"";"";"";"";1986;"";1987;onderwijs$school;"";jaren 1980;groepsportret;""
Het Huis van Alijn (Gent);2003-066;houders;sigarendoos;Sigarendoos van tabaksmerk Cogétama;Rechthoekige doos van tabaksmerk Cogétama uit Knesselare. Opschrift: Cogétama - Fameux par la qualité - 20 petits cigares- Cogétama serie diamant. Als afbeelding een indiaan met lang haar en haartooi met veren die met een fakkel een sigaar aansteekt. Druk: oranje-groenblauw-geel-zwart.;Cogétama;fabrikant;Knesselare;"";"";"";"";rookwaren$Knesselare;"";jaren 1930;indiaan;""
Het Huis van Alijn (Gent);2002-078-813;"";affiche;Affiche voor het artiestenduo The Callaerdo's, ca. 1930;Affiche voor het artiestenduo The Callaerdo's. Witte randen. Gedeelte links: rood sierkader. Gekleurde tekening: Links Jeanne Callaert in een acrobatenpak met daarover een groene mantel, op de achtergrond een tuinlandschap. Rechts op de voorgrond clown Pierre Callaert met een gebogen wandelstok, daarachter dezelfde clown onder een driedubbel rek waarop artieste Jeanne Callaert een reknummer uitvoert, op de achtergrond een landschap.;Dupuis, H. A.;drukker;Ganshoren;ca.;1930;"";"";circus$clown$acrobaat;Callaert (familie);jaren 1930;rekwerker$august;Callaert, Jeanne$Callaert, Pierre
Het Huis van Alijn (Gent);2007-033-032;"";digitale afbeelding;Polydoor De Baets met aapje in Santa Fé, Argentinië, 1926-1927;"";"";"";"";"";1926;"";1927;circus$Argentinië$Gent;"";jaren 1920;aap;De Baets, Polydoor
Het Huis van Alijn (Gent);2003-002-116;circusattributen;tafel;De truc met het ei van Circus Minnaert;"";"";"";"";"";"";"";"";circus$clown;Minnaert (circus);"";ei;""
Het Huis van Alijn (Gent);2003-002-020;circusattributen;ijzer (geplooid);Geplooid ijzer van Makovec;"";"";"";"";"";"";"";"";circus$krachtpatser;Makovec, Jean;"";"";""
Het Huis van Alijn (Gent);1975-382-001;"";porseleinkaart$nieuwjaarskaart;Nieuwjaarskaart Garde-Civique van Gent, 1862;"Nieuwjaarskaart voor het jaar 1862, gericht aan de officieren, onderofficieren en wachten van de garde-civique van Gent. Drukkleuren: zwarte druk, ingekleurd met geel, rood, blauw. Opschrift: Souhait de nouvel an à Messieurs les officiers sous-officiers et gardes de la garde -civique de la ville de Gand. l’an 1862; Le Tambour de la Compagnie.";Choquet, Ph.;drukker;"";"";1862;"";"";nieuwjaarsdag$militie$Gent;Gentse burgerwacht;19de eeuw;man$soldaat$trom$vlag;""
Het Huis van Alijn (Gent);1978-322-038;"";nieuwjaarskaart;Nieuwjaarskaart Société Royale d’Histoire Naturelle, Gent, 1892;Nieuwjaarskaart voor het jaar 1892, gericht aan de leden van de Koninklijke Maatschappij voor Natuurgeschiedenis te Gent of Gentse Zoo. Drukkleur: zwart. Opschrift: Société Royale d’Histoire Naturelle. Gand. Jardin Zoologique. 1892. Ch. Canepeel.;Heins, N.;drukker;Gent;"";1892;"";"";nieuwjaarsdag$Gent$dierentuin;Dierentuin (Gent)$Société Royale d'Histoire Naturelle (Gent);19de eeuw$jaren 1890;aap$beer$hert$zeehond$vogel;""
Het Huis van Alijn (Gent);2009-046-282;"";videospel;Computerspel Philips Videopac 2;"";Philips;fabrikant;Nederland;"";1980;"";"";speelgoed;"";jaren 1980;"";""
Het Huis van Alijn (Gent);1965-089-059;"";stangpop;Anna;Stangpop van Anna. De pop draagt een lang blauw-groenig kleed met een goudkleurig metaalboordlint. De pop heeft een lange sleep, lange mouwen. De jurk is gedeeltelijk met een stuk witte stof aan de buitenzijde versierd. Poppenkastpop uit Blauwbaard van het Spelleke van de Muide.;"";"";"";ca.;1922;ca.;1950;poppenspel$Gent;Spelleke van de Muide;jaren 1920$jaren 1930$jaren 1940;"";""
Het Huis van Alijn (Gent);2006-089;keukengerei;broodrooster;Broodrooster Wizard;De elektrische broodrooster heeft een horizontaal vlak bovenaan waarop een broodje kan worden gelegd.;H. Polliack & Co.;fabrikant;Zuid-Afrika;ca.;1930;ca.;1945;keuken$ontbijt$voedsel$huishouden;"";jaren 1930$jaren 1940;"";""
Het Huis van Alijn (Gent);FO-70-00332;"";digitale afbeelding;Koppel bij hun Alfa Romeo, ca. 1972;De auto is een Alfa Romeo Giulia Super 1.6 (1972-1974).;"";"";"";ca.;1972;"";"";vervoer;"";jaren 1970;auto$Alfa Romeo;""
Het Huis van Alijn (Gent);FO-80-00190;"";digitale afbeelding;Groepsportret aan zee, 1982;"";"";"";"";"";1982-07;"";"";toerisme$kusttoerisme$mode$vakantie;"";jaren 1980;strand$zee$badpak$bikini$emmer (vaatwerk)$parasol;""
Het Huis van Alijn (Gent);2003-002-008;circusattributen;masker$kop (figuurvoorstellingen);Paradekop van Circus Minnaert;Reuzenhoofd van een man met kraag en strik, geprofileerde wenkbrauwen en brede glimlach. Grote neus, aan rechterzijde geflankeerd door wrat. Aan de achterzijde van het hoofd werd het haar uitgewerkt. Opengewerkte ogen, mond en oren. Hoofd uit het circus Minnaert, gebruikt om de mensen naar de show te lokken. Waarschijnlijk gedragen door kinderen.;"";"";"";"";1935;"";"";circus;Minnaert (circus);jaren 1930;"";""
Het Huis van Alijn (Gent);2007-034-048;"";digitale afbeelding;Teddy Lorent met zijn fietsende beer, Europa Circus, 1963;"";"";"";"";"";1963;"";"";circus$dresseur;Europa (circus);jaren 1960;beer$circuspiste;Lorent, Paul
Het Huis van Alijn (Gent);2002-078-331;"";affiche;Affiche voor circus Demuynck in Tamines, 1947;Affiche voor Cirque Demuynck. Witte achtergrond, sierkader van blauwe en rode driehoekjes, witte randen. Tekening op rode achtergrond: een dresseur met zes circuspaarden.;Nolf, J.;drukker;Kortrijk;"";1947;"";"";Tamines$circus;Demuynck (circus);jaren 1940;dresseur$paard;""
Het Huis van Alijn (Gent);1965-089-047;"";stangpop;Soldaat;Stangpop van soldaat, hij draagt een helm met vizier en kam. De pop draagt voorarmbeschermers en kaplaarzen. Het uniform is rood. Aan de schouders hangen goudkleurige franjes. Poppenkastpop van het Spelleke van de Muide.;"";"";"";ca.;1922;ca.;1950;poppenspel$Gent;Spelleke van de Muide;jaren 1920$jaren 1930$jaren 1940;soldaat$helm;""
Het Huis van Alijn (Gent);2009-086-068;schoonmaakgerei;strijkijzer;Stoomstrijkijzer Tokyo EC-1200;Rood stoomstrijkijzer met regelbare thermostaat en verwijderbaar waterreservoir.;"";"";"";"";1980;"";2000;huishouden$schoonmaak;"";jaren 1980$jaren 1990;"";""
Het Huis van Alijn (Gent);2003-002-113;circusattributen;koffer;Circuskoffer van The Freddy's;Circuskoffer van blauwe kunststof met glitters en scharnierende delen. Attribuut van circusartiesten The Freddy's.;"";"";"";"";"";"";"";circus;"";"";"";""
Het Huis van Alijn (Gent);2003-001-026;circuskostuums;clownspak;Kostuum van clown Jojo French;"";"";"";"";ca.;1950;"";"";circus$clown;Chabre, Joseph;jaren 1950;"";""
Het Huis van Alijn (Gent);2003-001-028;circuskostuums;pak$broek$jas;Kostuum van Eddy Boon;Blauwe broek en korte vest met zilverkleurige kraag en schoudervulling.;"";"";"";"";"";"";"";circus;Boon, Adriaan;"";"";""
Het Huis van Alijn (Gent);2003-002-013;circusattributen;ijzer (geplooid);Geplooide nagel van Albert Maes;"";"";"";"";"";"";"";"";circus$krachtpatser;Maes, Albert;"";"";""
Het Huis van Alijn (Gent);2004-247-280;"";glasnegatief;Fietser op de zeedijk;"";Vander Haeghen, Arnold;fotograaf;"";"";"";"";"";kusttoerisme$toerisme$vervoer$vakantie;"";jaren 1890$jaren 1900$19de eeuw;fiets$zeedijk;""
Het Huis van Alijn (Gent);FO-50-00445;"";digitale afbeelding;Vrouw, jongen en hond in woonkamer, Gent, ca. 1957-1959;"";"";"";"";ca.;1957;ca.;1959;huisdier$voedsel$interieur$huiskamer$Gent;"";jaren 1950;hond$vogel$vogelkooi$koffie$sofa$behang$gordijn;""
Het Huis van Alijn (Gent);2003-001-006;circuskostuums;acrobatenpak;Kostuum van jongleursduo Dougall's;Wit-blauw glitterpak met pailletten van jongleursduo de Dougall's.;"";"";"";"";"";"";"";circus$jongleur;Chabre, Viviane$Dougall's;"";"";""
Het Huis van Alijn (Gent);2003-001-073;circuskostuums;broek$trui;Kostuum van John Massis;Witte katoenen broek met rode katoenen sweater met aan voor- en achterzijde het opschrift: John Massis Guinness book of records.;Depraet's;fabrikant;Gent;"";"";"";"";circus$krachtpatser;Massis, John;"";"";""
Het Huis van Alijn (Gent);2007-158-017;keukengerei;kurkenklopper;Kurkenklopper;Een flessenkurker of kurkenklopper wordt gebruikt om flessen te kurken. Het is een houten holle cilinder met een staaf erin waarop geklopt wordt. De kurk wordt langs boven in de flessenkurker gestopt en loopt naar beneden toe smaller. Door een krachtige slag op de kop van de flessenkurker wordt de kurk in de fles geslagen. De kurk wordt gekookt zodat hij makkelijker door de flessenkurker en in de hals van de fles kan.;"";"";"";"";"";"";"";keuken$huishouden;"";"";"";""
Het Huis van Alijn (Gent);FO-10-00081;"";digitale afbeelding;Studioportret van gezin met pasgeboren zoontje, Sint-Amandsberg, 1912;"";"";"";"";"";1912-07-10;"";"";geboorte$doopsel$Sint-Amandsberg;"";jaren 1910;gezin$baby$studioportret$doopkleed;""
Het Huis van Alijn (Gent);2002-078-262;"";affiche;Affiche voor circus Bouglione met de olifant Colonel Jo in Brussel, 1995;Affiche voor Cirque Bouglione. Blauw kader met gele sterren. Gekleurde collage – tekening: twee artiestes op een reuzenolifant, een colonne circuswagens, een circustent met toestromend publiek.;"";"";"";"";1995;"";"";circus$acrobaat$Brussel;Bouglione (circus);jaren 1990;olifant;""
Het Huis van Alijn (Gent);1976-290-003-001;"";porseleinkaart$adreskaart;Adreskaart van winkel van huishoudelijke waren en speelgoed A la foire de Leipsick, L. Desmons, Gent;"Adreskaart van winkel van huishoudelijke waren en speelgoed A la foire de Leipsick, L. Desmons. Drukkleuren: blauw, rood. Opschrift: A la foire de Leipsick, bazar a prix fixe.; Magasin de quincaillerie & jouets d’enfants en tous genres, de L. Desmons, Grande Salle Saint Georges, Gand.";Jacqmain, Gustave;drukker;Gent;"";"";"";"";winkel$huishouden$speelgoed$Gent;"";19de eeuw;hobbelpaard$kan$kop (drinkgerei);""
Het Huis van Alijn (Gent);1974-182;keukengerei;zoutbak;Bewaardoos voor zout;Bewaardoos van geëmailleerd ijzer voor één tot twee kilo zout. De zoutbak kan worden opgehangen aan een muurhaak.;"";"";"";"";"";"";"";keuken$huishouden;"";"";"";""
Het Huis van Alijn (Gent);2002-078-320;"";affiche;Affiche voor de cascadeurs Merry en Peter, ca. 1930;"Affiche voor de cascadeurs Merry en Peter. Tekening van een omgekrulde strook papier, op zwarte achtergrond met witte randen. Op de strook papier: oranje achtergrond met een gekruld motief dat kleine kaders vormt. Tekeningen: portrettekening van Peter en van Merry, de artiesten steken hun hoofd als het ware door een scheur in het papier; vier kleine tekeningen van de cascadenummers van Merry en Peter.";Janssens, John;drukker;Antwerpen;ca.;1930;"";"";circus$acrobaat;Demeyer (familie)$Merry & Peter;jaren 1930;cascadeur;Demeyer, Pierre$Colpaert, Marie
Het Huis van Alijn (Gent);2007-010-115;"";digitale afbeelding;Troep Fellers bij Circus Demuynck, 1952;"";"";"";"";"";1952;"";"";circus;Demuynck (circus)$Fellers;jaren 1950;draadloper$acrobaat$equilibrist;""
Het Huis van Alijn (Gent);2003-002-106;circusattributen$muziekinstrument;viool;Viool met één snaar van clown Polly Bentos;"";"";"";"";"";"";"";"";circus$clown;De Baets, Polydoor;"";"";""
Het Huis van Alijn (Gent);2003-001-112;circuskostuums$schoeisel;schoen;Paar schoenen van jongleursduo Duo Reals;Zwarte schoenen van leer met verhoogde hak.;"";"";"";"";"";"";"";jongleur$circus;"";"";"";""
Het Huis van Alijn (Gent);1973-119-141;"";tennisbal;Tennisbal;"";onbekend;"";"";"";"";"";"";speelgoed$tennis;"";"";"";""
Het Huis van Alijn (Gent);1973-118-025;"";miniatuur;Set van vier speelgoedpannetjes;"";onbekend;"";"";"";"";"";"";speelgoed$keuken;"";"";"";""
Het Huis van Alijn (Gent);2003-001-030;circuskostuums;kleed;Kostuum van acrobate Nadia De Baets;Rood kleedje met korte mouwen en versierd met zilverkleurige pailletten van plafondloopster en acrobate Nadia De Baets.;"";"";"";"";"";"";"";circus$acrobaat;De Baets, Nadia;"";"";""
Het Huis van Alijn (Gent);2003-002-088;circusattributen;hoepel (speelgoed);Hoepels voor hondennummer van Marino;De vijf witte hoepels die gebruikt werden bij een hondennummer van Marino Demeyer bestaan uit twee kleinere en drie grote ringen.;"";"";"";"";"";"";"";circus$dresseur;Demeyer, Marino;"";"";""
Het Huis van Alijn (Gent);1977-109-046-001;"";menukaart;Menukaart huwelijkfeest, 1892;Feestmaal ter gelegenheid van het huwelijk van Henri Gillis en Paula De Keghel.;"";"";"";"";1892-05-12;"";"";huwelijk$banket;"";19de eeuw;"";""
Het Huis van Alijn (Gent);2007-117-030;verpakkingsmateriaal;doos;Blikken doosje met afbeelding van rokende dame;"";"";"";"";"";"";"";"";rookwaren;"";jaren 1950;vrouw$sigaret;""
Het Huis van Alijn (Gent);2003-001-036;circuskostuums;cape;Kostuum van contorsionist Jack in the Box;Groene cape van slangenmens Jack in the Box. De randen zijn versierd met een zilveren passement, pailletten en nepedelstenen.;"";"";"";"";"";"";"";circus$slangenmens$acrobaat;"";"";"";""
Het Huis van Alijn (Gent);1975-081-001;"";vorm;Houten vormendoos;"";"";"";"";"";"";"";"";onderwijs$school;"";"";"";""
Het Huis van Alijn (Gent);2003-001-024;circuskostuums;kleed;Kostuum van Rachel Demuynck;Wit kleedje met zilverborduursel van Rachel Demuynck uit circus Demuynck.;"";"";"";"";"";"";"";circus$dresseur;Demuynck, Rachel;"";"";""
Het Huis van Alijn (Gent);2002-078-342;"";affiche;Affiche voor circus Demuynck in Tamines, 1947;Affiche voor Cirque Demuynck. Rode en blauwe druk op wit papier. Blauw-witte tekening: coureur-fietsacrobaat Reynaldo in actie op een draaiend platform.;Hussein;drukker;Gent;"";1947;"";"";Tamines$circus$acrobaat;Demuynck (circus);jaren 1940;"";""
Het Huis van Alijn (Gent);FO-40-00351;"";digitale afbeelding;Jongeman op fiets, Gent, 1940;"";"";"";"";"";1940;"";"";vervoer$jeugd$Gent;"";jaren 1940;fiets;""
Het Huis van Alijn (Gent);2003-002-047;circusattributen;scheermes;Scheermes voor clownsnummer van Circus Minnaert;Groot scheermes van hout met scharnierend gedeelte. Attribuut voor kappersact van Gastonske Minnaert en Odilon Titi uit circus Minnaert.;"";"";"";"";"";"";"";circus$clown;Minnaert (circus)$Minnaert, Gaston$Minnaert, Odilon;"";"";""
Het Huis van Alijn (Gent);2003-002-024;circusattributen$muziekinstrument;accordeon;Accordeon van Circus Minnaert;"";Hohner;fabrikant;"";"";"";"";"";circus$muziek;Minnaert (circus);"";"";""
Het Huis van Alijn (Gent);2002-078-367;"";affiche;Affiche voor Cirque Ménagerie Olympia Demuynck, Nieuw Circus, Gent, 1939;Affiche voor Cirque Ménagerie Olympia Demuynck. Witte en gele achtergrond, blauw kader met witte sterren. Gekleurde tekeningen: een clownshoofd, vier Kozakken op een paard, een steigerend paard, twee trapezisten, een luipaard, zebra's, bladeren van jungleplanten, een olifantenkop, twee panters.;Beyaert-Sioen, Léon;drukker;Kortrijk;"";1939;"";"";circus$clown$acrobaat$Nieuw Circus (Gent)$Gent;Demuynck (circus);jaren 1930;august$trapezist$olifant$paard$luipaard$panter;""
Het Huis van Alijn (Gent);2007-018-123;"";digitale afbeelding;Les Dougall's;Les Dougall's: Erwin Steiner en zijn echtgenote Viviane Chabre, de dochter van de bekende clown Jojo French, vormden vanaf 1962 samen het duo The Dougall’s. Hun up-tempo jongleertricks combineerden ze met acrobatische oefeningen.;"";"";"";"";"";"";"";circus;Dougall's;jaren 1960;jongleur$acrobaat;Steiner, Erwin$Chabre, Viviane
Het Huis van Alijn (Gent);FO-70-00284;"";digitale afbeelding;Man bij zijn Mercedes, Gent, 1978;De auto is een Mercedes 250, gemaakt tussen 1968 en 1976.;"";"";"";"";1978-11;"";"";Gent$Mercedes-Benz$vervoer;"";jaren 1970;auto;""
Het Huis van Alijn (Gent);2002-078-479;"";affiche;Affiche voor Circus De Jonghe in Aarschot, 1961;Affiche voor Circus De Jonghe. Voornamelijk gele achtergrond. Gekleurde tekeningen: een leeuwenkop, een artieste met een hondennummer, een evenwichtsacrobaat, een voltigeacrobaat, een artieste met pluimenwaaiers, een paard, een spreekstalmeester, twee clowns, drie dresseurs met een paardennummer, een aap met drie ballonnen op een bal.;"";"";"";"";1961;"";"";Aarschot$circus$clown$acrobaat;De Jonghe (circus);jaren 1960;leeuw$paard$hond$aap;""
Het Huis van Alijn (Gent);2004-247-347;"";glasnegatief;Mannen en ezels op het strand, Oostende;Een man ligt te slapen op een golfbreker op het strand van Oostende. Vlak bij hem staan enkele ezeltjes die voor tochtjes worden verhuurd.;Vander Haeghen, Arnold;fotograaf;Gent;"";"";"";"";kusttoerisme$Oostende$toerisme$vervoer$vakantie;"";jaren 1980$jaren 1900$19de eeuw;zee$strand$strandcabine$golfbreker$ezel;""
Het Huis van Alijn (Gent);2004-247-348;"";glasnegatief;Stoet op de dijk van Blankenberge;"";Vander Haeghen, Arnold;fotograaf;Gent;"";"";"";"";kusttoerisme$toerisme$vakantie$optocht$Blankenberge;"";19de eeuw;zeedijk$ezel$parasol;""
Het Huis van Alijn (Gent);FO-60-01422;"";digitale afbeelding;Huwelijk Monique en Gilbert, Gent, 1962;"";"";"";"";"";1962-04-17;"";"";huwelijk$Gent;"";jaren 1960;bruidspaar$bruidsboeket$studioportret;""
Het Huis van Alijn (Gent);2003-002-101-001;circusattributen;postament;Postament voor hondennummer van de Flerony's;"";"";"";"";"";"";"";"";circus$dresseur;Flerony's;"";"";""
Het Huis van Alijn (Gent);2003-002-085;circusattributen$gereedschap;bijl (gereedschap);Bijl voor clownsnummer van Polly Bentos;Grote bijl met houten greep en houten lemmet. Brandweerattribuut voor circusact van Polly Bentos (Polydoor De Baets).;onbekend;"";"";"";"";"";"";circus$clown;De Baets, Polydoor;"";"";""
Het Huis van Alijn (Gent);2000-122;"";koffiemolen;Manuele koffiemolen;"";"";"";"";"";"";"";"";keuken$koffie$huishouden;"";"";"";""
Het Huis van Alijn (Gent);2009-046-030;"";speelgoedwagen;Ferrari F40, 308 GTB, Testarossa;"";Matchbox;fabrikant;"";"";1989;"";"";speelgoed$vervoer;"";jaren 1980;"";""
Het Huis van Alijn (Gent);2003-002-060;circusattributen;jongleerring;Jongleerringen van Vekos;"";"";"";"";"";"";"";"";circus$jongleur;Van der Veken, Jan;"";"";""
Het Huis van Alijn (Gent);2003-002-124;circusattributen;clownsneus;Clownsneus met bril van Circus Minnaert;"";"";"";"";"";"";"";"";circus$clown;Minnaert (circus);"";"";""
